skin_L,skin_a,skin_b,undertone,delta_e,normal_pct,oily_pct,dry_pct,contrast_level,primary_group,sub_group,shade_L_min,shade_L_max,shade_a_min,shade_a_max,shade_b_min,shade_b_max
63.863259110535815,6.080952546994531,29.016041422728264,Neutral,28.967362530445094,37.31,35.73,26.96,high,Mauve,Dusty Rose,46,70,10,30,-2,18
34.788379466792826,5.750573150636063,17.88276317515591,Neutral,18.491356413864363,41.87,45.19,12.94,medium,Red,True Red,30,46,41,55,13,27
61.99228215631205,15.0714014880711,26.99526518490132,Neutral,23.19238483073749,55.66,23.95,20.39,medium,Mauve,Dusty Rose,50,66,13,27,1,15
52.383665865109045,9.030567560126258,24.083355252361297,Cool,17.91241032958151,56.32,24.49,19.19,medium,Berry,True Berry,34,50,28,42,-10,4
71.92967233465401,5.863474715940233,19.888732295945424,Warm,31.421023159594647,48.97,23.33,27.7,high,Nude,Warm Nude,50,74,8,28,12,32
81.29479289558778,15.856827486681492,27.7762749866107,Neutral,39.79156596895736,36.92,37.41,25.67,high,Nude,Taupe Nude,53,77,2,22,0,20
45.33703962480176,15.799707594317107,34.05820480377323,Warm,22.45708020128904,41.49,25.18,33.33,medium,Coral,True Coral,44,60,23,37,19,33
67.0153470924852,17.553377543176175,16.519395877904657,Cool,22.607220265880827,55.84,14.6,29.56,medium,Mauve,Cool Mauve,47,63,15,29,-5,9
76.487900856422,15.012485361408356,27.394941735044107,Warm,35.40292973243076,54.88,30.21,14.91,high,Nude,Peachy Nude,58,82,4,24,10,30
73.01704813885566,18.59103673145368,30.71663282524036,Neutral,33.72317464625673,32.29,53.4,14.31,high,Nude,Taupe Nude,53,77,2,22,0,20
62.50212617228803,22.72391560930149,25.121837733984894,Warm,22.043746558022203,25.2,30.51,44.29,medium,Nude,Warm Nude,54,70,11,25,15,29
43.47831282790619,23.12708770189472,11.629196277352303,Warm,3.4973854156763244,43.18,6.91,49.91,low,Coral,Deep Coral,35,45,28,36,24,32
80.06858623771959,5.027072514309364,31.126505041194022,Warm,42.65931895020062,60.35,26.84,12.81,high,Nude,Peachy Nude,58,82,4,24,10,30
