L,a,b,Undertone,MST_Class,normal_pct,oily_pct,dry_pct,Delta_E,Contrast_Level,primary_group,sub_group,shade_L_min,shade_L_max,shade_a_min,shade_a_max,shade_b_min,shade_b_max
70.1576983681248,12.701161114379234,10.704184932682708,Cool,8,55.32,23.21,21.47,26.22712284922777,Medium,Pink,Soft Pink,60,76,18,32,-2,12
34.61693747521119,11.838105562109806,30.32518114626433,Cool,1,23.44,47.36,29.2,22.58842119875443,Medium,Berry,Deep Berry,24,40,31,45,-12,2
84.38307809785616,19.506527814717565,23.680751757589384,Cool,10,30.61,38.35,31.04,41.08175162869656,High,Pink,Soft Pink,56,80,15,35,-5,15
59.09748185420213,15.838018947567162,21.00110349083885,Warm,6,17.86,19.85,62.29,17.236036231197694,Low,Coral,True Coral,47,57,26,34,22,30
69.35654384030045,19.96750498856365,17.820589070663473,Neutral,8,70.48,16.77,12.75,25.04239487149288,Medium,Mauve,Dusty Rose,50,66,13,27,1,15
30.20618331017018,10.390237245845451,30.81826299039293,Cool,1,55.11,19.43,25.46,25.794022067506564,Medium,Berry,Deep Berry,24,40,31,45,-12,2
48.53598186947663,6.701127709784823,8.113060977954863,Cool,4,42.29,10.23,47.48,14.29935197600988,Low,Berry,True Berry,37,47,31,39,-7,1
38.172370135101474,14.396086428973632,8.981200204538546,Neutral,2,31.93,13.37,54.7,9.334534219159837,Low,Red,True Red,33,43,44,52,16,24
48.89135150146939,22.43687055490464,23.80456783871231,Warm,4,54.3,25.36,20.34,12.666048178816876,Low,Coral,True Coral,47,57,26,34,22,30
66.46595982321548,6.901130736651289,21.123553631372385,Neutral,7,32.5,16.81,50.69,26.75083247255553,High,Mauve,Dusty Rose,46,70,10,30,-2,18
45.0185684600293,12.012853829142935,16.65789437788367,Neutral,3,60.01,22.6,17.39,9.246125068257776,Low,Red,Blue Red,40,50,41,49,6,14
44.09248412346284,15.81270243220213,22.901484646911108,Warm,3,36.63,32.66,30.71,11.713215335435937,Low,Coral,Deep Coral,35,45,28,36,24,32
61.0694931853922,16.101698986045726,20.721533271186,Warm,6,38.54,32.98,28.48,18.69466513824646,Medium,Nude,Warm Nude,54,70,11,25,15,29
70.81915454820204,19.152411714810707,12.719094691623212,Cool,8,25.19,31.3,43.51,25.84306956730668,Medium,Pink,Soft Pink,60,76,18,32,-2,12
77.64603265005906,13.882260103508129,34.289687640955364,Neutral,9,56.08,16.39,27.53,40.00025455370513,High,Nude,Taupe Nude,53,77,2,22,0,20
