L,a,b,Undertone,MST_Class
70.1576983681248,12.701161114379234,10.704184932682708,Cool,8
34.61693747521119,11.838105562109806,30.325181146264335,Cool,1
84.38307809785616,19.506527814717565,23.680751757589384,Cool,10
59.09748185420213,15.838018947567162,21.00110349083885,Warm,6
69.35654384030045,19.96750498856365,17.820589070663473,Neutral,8
30.20618331017018,10.390237245845453,30.818262990392938,Cool,1
48.53598186947663,6.7011277097848225,8.113060977954863,Cool,4
38.172370135101474,14.396086428973632,8.981200204538546,Neutral,2
48.89135150146939,22.43687055490464,23.80456783871231,Warm,4
66.46595982321548,6.901130736651289,21.123553631372385,Neutral,7
45.0185684600293,12.012853829142937,16.65789437788367,Neutral,3
44.09248412346284,15.81270243220213,22.901484646911108,Warm,3
61.0694931853922,16.101698986045726,20.721533271185997,Warm,6
70.81915454820204,19.152411714810707,12.719094691623212,Cool,8
77.64603265005906,13.882260103508129,34.289687640955364,Neutral,9
76.4278541655568,9.177654480103275,11.452403633005275,Warm,9
34.06644380646099,16.674271754627277,34.71518053605652,Cool,1
55.98858145815375,13.646696020852039,31.719920155136393,Warm,5
65.98327403484294,20.8437987655049,24.9861746231252,Neutral,7
67.3543801818872,23.737068601820305,27.103116112407157,Neutral,7
33.881699724000256,7.541210253037695,24.689462492363187,Warm,1
59.20925009417723,11.305806756612206,10.12161942318556,Warm,6
78.31266609557217,9.314813583529082,27.6923094403759,Warm,9
33.87340219889975,15.174119684325333,10.338733543076739,Neutral,1
55.59072306122986,16.278391335112474,9.60885162853488,Cool,5
80.56156541157455,13.98296405464425,11.781209927624184,Neutral,10
68.84841983745471,10.915056692406589,9.280222175782292,Neutral,8
33.623052625525226,24.218402938576492,9.668828438609012,Cool,1
58.981774237254186,9.659189495072676,12.522029720994883,Warm,6
36.434165001452165,17.136939110802782,30.070011877264953,Cool,2
42.492455651824066,7.856839296286637,24.811024407163767,Cool,3
66.51266586189263,23.329783022310284,34.58567089495267,Cool,7
60.23030732187668,24.13229242166916,9.718304550739344,Warm,6
70.73910480374157,19.28306292784348,20.69799801267252,Neutral,8
53.793447480251956,20.814463296779273,11.583325359162629,Warm,5
76.70409021166681,21.56938598898234,30.77854092939924,Warm,9
41.74740043541854,24.81285474344358,15.227047804246034,Neutral,3
50.00248757536716,5.841863792727238,31.538156297989445,Warm,4
55.449762358153386,22.401977478018598,25.18361673767819,Warm,5
47.24281040030271,22.01149056030232,19.68483007722911,Cool,4
35.08544686573051,21.25599134515005,11.100594267958495,Warm,1
35.35129990040384,24.252968293558503,8.392705973032813,Warm,1
50.95775294427682,16.314639279915824,22.033896611012477,Warm,4
71.96036224623572,13.593136254778702,24.155652076039487,Warm,8
67.1903037266169,8.115465211603404,14.475138709577937,Cool,7
65.79254584283947,20.663228618473944,22.273728307710442,Cool,7
45.514247585313974,14.521134043021235,17.928129719443668,Neutral,3
32.72737450810651,22.547461438559107,9.220904092867114,Warm,1
58.66187908722142,23.810746022058954,17.000931629147196,Neutral,6
60.38357936634243,24.62515154782554,20.12511988164165,Cool,6
36.75381369214335,22.782558478800198,33.68901029290348,Cool,2
35.64388993995633,14.314511553349952,28.630580837629743,Neutral,2
43.47831282790619,23.12708770189472,11.629196277352305,Warm,3
52.99952192817147,10.248321633924288,10.319580481476153,Neutral,5
32.17342308136835,15.105047448957142,23.844710186563738,Warm,1
83.97302573732892,13.255166405547868,32.63977388397022,Neutral,10
55.83737213617724,16.53762402622417,12.990636744569674,Cool,5
78.33967189207644,10.987911767433625,29.788068253867827,Warm,9
58.882760250589186,20.450451835250888,9.08878147246567,Neutral,6
41.950220957870584,7.3078928435783475,29.6712884335291,Cool,3
71.80414710316096,11.690225774838643,31.564353668285456,Warm,8
66.39549343861603,8.548575389394138,12.974070659426705,Warm,7
73.04234018306474,16.050019348157782,32.79751366792603,Warm,8
56.43688028611036,8.61150690254667,18.59732602298049,Warm,5
41.626992350416714,15.62709263136296,31.008900508600583,Warm,3
37.58451230132938,17.990178594148947,8.81280454970561,Cool,2
52.107043866937694,13.226079441324625,25.51666542630342,Cool,5
47.74463725325449,12.918744523918997,26.76373422226229,Cool,4
67.38269095596267,17.910687128210444,30.611758029706913,Cool,7
71.21323232166617,20.700330876741138,23.124540953469733,Warm,8
63.287978601091524,20.878702669037025,13.529665044517657,Cool,7
64.00430032461269,5.985993248183399,20.985423418276195,Neutral,7
61.63168408764177,23.168750957445297,32.65656096898265,Neutral,6
74.64204323632902,10.722700849166287,34.077590057804755,Cool,9
34.715339716144896,18.173872632378902,12.779283075472165,Warm,1
60.818067712625925,15.345381128832187,20.070499682773487,Warm,6
51.64983333052341,13.655341634163873,33.43900727122024,Neutral,4
68.83660783723019,15.32495646400121,17.447177518479762,Neutral,8
53.26937325036704,24.19184295218468,25.322651393571647,Neutral,5
57.15268652576942,5.921383393509352,19.865565107677938,Neutral,5
71.36988601500336,6.321106156443202,10.52610398663306,Cool,8
73.88188612546786,5.798959465721887,34.89806131220524,Cool,8
72.07157538908547,6.772094279393581,19.798888912971762,Warm,8
74.23825401277958,24.51203838313305,30.759528026317323,Cool,9
32.585795431577495,8.479547990436071,10.16171186828207,Neutral,1
34.272607415662016,11.816070805060356,11.233577559119784,Warm,1
65.35221213609529,5.514848194944324,18.964217579113814,Neutral,7
49.9528865576892,18.847086123088282,15.569038318888136,Cool,4
55.76302440908906,7.2003544225508715,8.344666515983228,Neutral,5
72.5601615295335,9.4298709771928,19.958680647133015,Neutral,8
45.069480345069046,9.672155020998199,12.307706363056084,Warm,3
54.55403601613362,12.83821125887818,31.848387238508042,Cool,5
48.7942733014732,19.22243634030572,21.10190131197551,Neutral,4
46.515579969224056,9.59987507926481,33.39360672774387,Cool,4
73.0599190541408,7.665685161643463,28.577499752158765,Cool,8
49.41698639312877,21.64268355915484,9.06227559804976,Warm,4
65.23866562789556,14.144608392390888,24.431433015697305,Neutral,7
48.94555081892338,12.896145657565121,10.105834393054046,Neutral,4
39.677591856141746,6.151175200332886,19.08071432872086,Warm,2
58.00272445861906,13.934529374052811,9.549579779583386,Cool,6
37.905114368723005,8.138052482922403,31.186114150298664,Neutral,2
39.93783426530973,15.444865201096087,17.670393386886694,Warm,2
70.34417378727147,21.099779993615396,33.33423009810903,Warm,8
60.19376066247071,23.761282791362625,10.686356059570045,Cool,6
39.11629024643479,16.45214465764045,34.1380622991698,Cool,2
75.83552919950404,9.936477384038046,33.66239760553299,Warm,9
